sample_id	reference	material_source_and_purity	synthesis_method	processing_route	operating_temperature	conductivity
1	10.1016/j.ssi.2006.09.003	Commercial YSZ powder supplied by Toyo Soda with purity higher than 99%.	Commercialization	dry pressing	950	0.016
2	10.1016/j.ssi.2006.09.003	Commercial YSZ powder supplied by Kerafol GmbH.	Commercialization	dry pressing	950	0.014
3	10.1016/j.ijhydene.2015.09.124	Commercial Sc2O3 powder supplied by Adventech (Korea) with a concentration of 6.8 mol%.	Commercialization	RF sputtering	500	0.00024
4	10.1016/S0955-2219(02)00421-1	Commercial YSZ powder supplied by Praxair (USA).	Commercialization	spark plasma sintering	1000	0.05
5	10.3139/146.111204	Commercial Dy2O3 powder supplied by Alfa Aesar.	Solid-state synthesis	dry pressing	700	0.00043
6	10.3139/146.111204	Commercial Dy2O3 powder supplied by Alfa Aesar and commercial Bi2O3 powder supplied by SRL with a purity of 99.9%.	Solid-state synthesis	dry pressing	700	0.0035
7	10.1016/j.mtcomm.2022.103546	Commercial YSZ material.	Commercialization	dry pressing	800	0.12
8	10.1016/j.matchemphys.2018.10.019	Self-prepared YSZ and the reagents Fe(NO3)3 and Zn(NO3)2 were used.	Solid-state synthesis	dry pressing	300	0.000007398
9	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00684
10	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00483
11	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00302
12	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00469
13	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00299
14	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00719
15	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00276
16	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00426
17	10.3390/app11135939	Commercial YSZ powder supplied by Innovnano (Portugal) with d50 = 500 nm and commercial Pr6O11 powder supplied by Alfa Aesar with 99.5% purity.	Solid-state synthesis	dry pressing	700	0.00473
18	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Lu2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	950	0.226
19	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	950	0.193
20	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	950	0.014
21	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Lu2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	900	0.153
22	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	900	0.121
23	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	900	0.01005
24	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Lu2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	850	0.955
25	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	850	0.078
26	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	850	0.0024
27	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Lu2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	800	0.572
28	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	800	0.553
29	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	800	0.0009
30	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder supplied by Z-Tech (NH, USA) with 99.57 wt% purity and 1.91 wt% HfO2 content, and commercial Lu2O3 powder supplied by Alfa Aesar (MA, USA) with 99.99% purity.	Solid-state synthesis	dry pressing	750	0.038
31	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	750	0.04
32	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	750	0.0003
33	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Lu2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	700	0.0158
34	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Sc2O3 powder (99.99%) supplied by Alfa Aesar (MA, USA).	Solid-state synthesis	dry pressing	700	0.0192
35	10.1016/j.ceramint.2021.03.158	Commercial ZrO2 powder (99.57 wt% with 1.91 wt% of HfO2) supplied by Z-Tech (NH, USA) and commercial Y2O3 powder (99.99%) supplied by Aldrich (MO, USA).	Solid-state synthesis	dry pressing	700	0.0002
