sample_id	reference	material_source_and_purity	synthesis_method	processing_route	sintering_temperature	sintering_duration	dopant_element	dopant_ionic_radius	dopant_valence	dopant_molar_fraction	crystal_phase	operating_temperature	conductivity
1	10.1016/j.ssi.2006.09.003	YSZ，商品化材料(Toyo Soda)，>99%	商品化	干压成型	1550	2h	Y	101.9	+3	0.085	c	950	0.016
2	10.1016/j.ssi.2006.09.003	YSZ，商品化材料(Kerafol GmbH)	商品化	干压成型	1350	2h	Y	101.9	+3	0.1	c	950	0.014
3	10.1016/j.ijhydene.2015.09.124	Sc2O3, 商品化材料(Adventech, Korea)，6.8 mol%	商品化	射频溅射	/	/	Sc	87	+3	0.067	c	500	0.00024
4	10.1016/S0955-2219(02)00421-1	YSZ，商品化材料(Praxair, USA)	商品化	放电等离子烧结	1500	3min	Y	101.9	+3	0.03	t	1000	0.05
5	10.3139/146.111204	Dy2O3，商品化材料(Alfa Aesar)	固相合成	干压成型	1100	6h	Dy	102.7	+3	0.1	c	700	0.00043
6	10.3139/146.111204	Dy2O3，商品化材料(Alfa Aesar)，Bi2O3，商品化材料(99.9%, SRL)	固相合成	干压成型	1100	6h	Dy/Bi	102.7/96	+3	10%/2%	c	700	0.0035
7	10.1016/j.mtcomm.2022.103546	YSZ，商品化材料	商品化	干压成型	1400	10h	Y	101.9	+3	0.08	c	800	0.12
8	10.1016/j.matchemphys.2018.10.019	YSZ，自制；Fe(NO3)3，Zn(NO3)2	固相合成	干压成型	1550	5h	Y/Fe/Zn	101.9/64.5/74	+3/+3/+2	5%/2%/1%	c/t/m	300	7.398×10-6 
9	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1450	1h	Y/Pr	101.9/112.6	+3/+3	5%/5%	c/o	700	0.00684
10	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1450	4h	Y/Pr	101.9/112.6	+3/+3	5%/10%	c/o	700	0.00483
11	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1450	9h	Y/Pr	101.9/112.6	+3/+3	5%/15%	c/o	700	0.00302
12	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1500	1h	Y/Pr	101.9/112.6	+3/+3	5%/10%	c/o	700	0.00469
13	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1500	4h	Y/Pr	101.9/112.6	+3/+3	5%/15%	c/o	700	0.00299
14	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1500	9h	Y/Pr	101.9/112.6	+3/+3	5%/5%	c	700	0.00719
15	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1550	1h	Y/Pr	101.9/112.6	+3/+3	5%/15%	c/o	700	0.00276
16	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1550	4h	Y/Pr	101.9/112.6	+3/+3	5%/5%	c	700	0.00426
17	10.3390/app11135939	 YSZ，商品化材料（Innovnano, Portugal, d50 = 500 nm）；Pr6O11，商品化材料(Alfa Aesar, 99.5% purity)	固相合成	干压成型	1550	9h	Y/Pr	101.9/112.6	+3/+3	5%/10%	c	700	0.00473
18	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	950	0.226
19	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	950	0.193
20	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	950	0.014
21	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	900	0.153
22	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	900	0.121
23	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	900	0.01005
24	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	850	0.955
25	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	850	0.078
26	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	850	0.0024
27	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	800	0.572
