id	sample_id	step_order	sintering_temperature	sintering_duration
1	1	1	1550	120
2	2	1	1350	120
3	4	1	1500	3
4	5	1	1100	360
5	6	1	1100	360
6	7	1	1400	600
7	8	1	1550	300
8	9	1	1450	60
9	10	1	1450	240
10	11	1	1450	540
11	12	1	1500	60
12	13	1	1500	240
13	14	1	1500	540
14	15	1	1550	60
15	16	1	1550	240
16	17	1	1550	540
17	18	1	1600	360
18	19	1	1600	360
19	20	1	1600	360
20	21	1	1600	360
21	22	1	1600	360
22	23	1	1600	360
23	24	1	1600	360
24	25	1	1600	360
25	26	1	1600	360
26	27	1	1600	360
27	28	1	1600	360
28	29	1	1600	360
29	30	1	1600	360
30	31	1	1600	360
31	32	1	1600	360
32	33	1	1600	360
33	34	1	1600	360
34	35	1	1600	360
35	36	1	1350	240
36	37	1	1400	720
37	38	1	1400	720
38	39	1	1300	5
39	40	1	1300	30
40	41	1	1300	240
41	42	1	1300	5
42	43	1	1300	30
43	44	1	1300	240
44	45	1	1600	960
45	46	1	1600	960
46	47	1	1600	960
47	48	1	1600	960
48	49	1	1600	960
49	50	1	1200	120
50	51	1	1200	120
51	52	1	1200	120
52	53	1	1200	120
53	54	1	1600	240
54	55	1	1600	240
55	56	1	1600	240
56	57	1	1600	240
57	58	1	1600	240
58	59	1	1600	240
59	60	1	1600	240
60	61	1	1600	240
61	62	1	1600	240
62	63	1	1600	240
63	64	1	1600	240
64	65	1	1600	240
65	66	1	1600	240
66	67	1	1600	240
67	68	1	1600	240
68	69	1	1600	240
69	70	1	1600	240
70	71	1	1600	240
71	72	1	1600	240
72	73	1	1600	240
73	74	1	1600	240
74	75	1	1600	240
75	76	1	1600	240
76	77	1	1600	240
77	78	1	1600	240
78	79	1	1600	240
79	80	1	1600	240
80	81	1	1600	240
81	82	1	1600	240
82	83	1	1600	240
83	84	1	1600	240
84	85	1	1600	240
85	86	1	1600	240
86	87	1	1600	240
87	88	1	1600	240
88	89	1	1600	240
89	90	1	550	
90	91	1	1600	240
91	92	1	1600	240
92	93	1	1600	240
